Date,Price,Open,High,Low,Vol.,Change %,Symbol,Nltk_Sentiment,FinBERT_Sentiment,Subjectivity_avg,Polarity_avg,PriceSP500,OpenSP500,HighSP500,LowSP500,Change%SP500
2024-04-11,15530.0,15450.0,16350.0,15410.0,20.10K,-0.06%,FUESSV30,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
2024-04-11,18820.0,19000.0,19000.0,18800.0,8.80K,-0.53%,FUESSV50,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
2024-04-11,20700.0,20500.0,21700.0,20400.0,1.42M,0.44%,FUESSVFL,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
2024-04-11,17090.0,16980.0,17150.0,16870.0,51.50K,0.59%,FUEVN100,0.3612,0.0,0.2667,0.1833,132270.3031,131603.74889999998,132593.4038,130736.2108,0.75%
2024-04-10,21840.0,22100.0,22100.0,21730.0,406.80K,-0.18%,E1VFVN30,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-10,30320.0,30400.0,30640.0,30320.0,2.53M,0.07%,ETF,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-10,7590.0,7250.0,7590.0,7150.0,2.00K,4.69%,FUEIP100,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-10,15000.0,15430.0,15430.0,15000.0,0.80K,0.60%,FUEMAV30,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-10,15540.0,15660.0,15670.0,15540.0,27.30K,-0.77%,FUESSV30,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-10,18920.0,18900.0,19050.0,18900.0,13.60K,0.37%,FUESSV50,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-10,20610.0,20800.0,20800.0,20610.0,679.30K,1.03%,FUESSVFL,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-10,16990.0,16980.0,17110.0,16980.0,69.70K,0.06%,FUEVN100,0.1358,0.9986,1.0,0.2,131290.8246,131476.5439,131743.6744,130733.66669999999,-0.95%
2024-04-05,21780.0,21900.0,22480.0,21620.0,317.60K,-0.55%,E1VFVN30,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-05,30140.0,30300.0,31000.0,29930.0,625.20K,-0.56%,ETF,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-05,7600.0,7600.0,7600.0,7600.0,,-0.91%,FUEIP100,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-05,14960.0,15030.0,15030.0,14920.0,0.60K,-0.60%,FUEMAV30,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-05,15520.0,15640.0,15950.0,15420.0,20.50K,-0.51%,FUESSV30,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-05,18850.0,19070.0,19070.0,18750.0,25.00K,-1.15%,FUESSV50,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-05,20380.0,20790.0,20790.0,20380.0,471.90K,-1.02%,FUESSVFL,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-05,16920.0,17220.0,17390.0,16900.0,176.50K,-1.05%,FUEVN100,0.0,0.9976,0.0,0.0,132402.5963,131247.57489999998,132857.9902,131204.3252,1.11%
2024-04-04,21900.0,22180.0,22180.0,21870.0,708.70K,-1.26%,E1VFVN30,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-04,30310.0,31000.0,31000.0,30210.0,1.31M,-0.75%,ETF,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-04,7670.0,7320.0,7700.0,7320.0,1.60K,4.78%,FUEIP100,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-04,15050.0,15170.0,15180.0,14900.0,92.10K,-0.27%,FUEMAV30,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-04,15600.0,15800.0,15810.0,15600.0,13.30K,-0.19%,FUESSV30,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-04,19070.0,19100.0,19200.0,18930.0,12.60K,-0.16%,FUESSV50,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-04,20590.0,21000.0,21000.0,20590.0,535.80K,-1.48%,FUESSVFL,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-04,17100.0,17190.0,17260.0,17090.0,93.30K,-0.52%,FUEVN100,-0.3182,0.0,0.25,-0.35,130949.91519999999,133415.1481,133733.1606,130921.9301,-1.23%
2024-04-02,22200.0,22390.0,22390.0,22000.0,7.17M,-0.80%,E1VFVN30,0.4019,0.9945,0.375,-0.125,132440.7578,132402.5963,132504.3603,131888.6881,-0.72%
2024-04-02,30900.0,30800.0,30900.0,30510.0,1.63M,-0.80%,ETF,0.4019,0.9945,0.375,-0.125,132440.7578,132402.5963,132504.3603,131888.6881,-0.72%
2024-04-02,15270.0,15500.0,15500.0,15050.0,84.70K,-0.26%,FUEMAV30,0.4019,0.9945,0.375,-0.125,132440.7578,132402.5963,132504.3603,131888.6881,-0.72%
2024-04-02,15880.0,15930.0,15930.0,15690.0,33.40K,-0.31%,FUESSV30,0.4019,0.9945,0.375,-0.125,132440.7578,132402.5963,132504.3603,131888.6881,-0.72%
2024-04-02,18920.0,18600.0,19090.0,18500.0,175.70K,1.72%,FUESSV50,0.4019,0.9945,0.375,-0.125,132440.7578,132402.5963,132504.3603,131888.6881,-0.72%
2024-04-02,21280.0,21200.0,21400.0,20450.0,830.40K,-0.14%,FUESSVFL,0.4019,0.9945,0.375,-0.125,132440.7578,132402.5963,132504.3603,131888.6881,-0.72%
2024-04-02,17430.0,17500.0,17500.0,17150.0,122.90K,0.00%,FUEVN100,0.4019,0.9945,0.375,-0.125,132440.7578,132402.5963,132504.3603,131888.6881,-0.72%
2024-04-01,22380.0,22800.0,22800.0,22170.0,456.40K,-0.84%,E1VFVN30,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
2024-04-01,31150.0,30400.0,31200.0,30400.0,2.35M,-0.73%,ETF,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
2024-04-01,7800.0,7220.0,8100.0,7150.0,10.40K,2.50%,FUEIP100,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
2024-04-01,15310.0,15430.0,15430.0,14530.0,23.30K,-1.48%,FUEMAV30,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
2024-04-01,15930.0,15910.0,15980.0,15790.0,29.00K,0.13%,FUESSV30,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
2024-04-01,18600.0,18190.0,18620.0,18000.0,182.40K,2.25%,FUESSV50,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
2024-04-01,21310.0,21500.0,21500.0,21110.0,537.40K,-0.33%,FUESSVFL,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
2024-04-01,17430.0,17460.0,17460.0,17260.0,209.10K,-0.11%,FUEVN100,0.7783,0.0,0.0333,0.0167,133407.5158,133768.778,133918.87989999997,133036.0772,-0.20%
