"Date","Price","Open","High","Low","Vol.","Change %"
"04/08/2022","18,000.0","17,990.0","18,000.0","17,900.0","5.70K","-0.11%"
"04/07/2022","18,020.0","18,160.0","18,180.0","18,020.0","3.50K","-0.28%"
"04/06/2022","18,070.0","17,790.0","18,110.0","17,790.0","23.40K","1.06%"
"04/05/2022","17,880.0","17,990.0","18,050.0","17,850.0","14.30K","-0.61%"
"04/04/2022","17,990.0","18,150.0","18,500.0","17,900.0","44.50K","-0.50%"
"04/01/2022","18,080.0","17,600.0","18,080.0","17,530.0","58.10K","1.86%"
"03/31/2022","17,750.0","17,550.0","17,750.0","17,470.0","85.80K","0.85%"
"03/30/2022","17,600.0","17,590.0","17,600.0","17,440.0","53.50K","0.00%"
"03/29/2022","17,600.0","17,400.0","17,600.0","17,400.0","13.00K","0.86%"
"03/28/2022","17,450.0","17,580.0","17,580.0","17,280.0","14.00K","-0.85%"
"03/25/2022","17,600.0","17,580.0","17,600.0","17,410.0","24.60K","0.11%"
"03/24/2022","17,580.0","17,500.0","17,630.0","17,460.0","13.30K","-0.90%"
"03/23/2022","17,740.0","17,850.0","17,850.0","17,630.0","15.50K","-0.39%"
"03/22/2022","17,810.0","17,650.0","17,810.0","17,560.0","28.20K","1.08%"
"03/21/2022","17,620.0","17,330.0","17,620.0","17,330.0","14.70K","1.03%"
"03/18/2022","17,440.0","17,380.0","17,440.0","17,350.0","13.90K","0.52%"
"03/17/2022","17,350.0","17,350.0","17,370.0","17,310.0","13.70K","0.00%"
"03/16/2022","17,350.0","17,250.0","17,350.0","16,820.0","83.80K","0.58%"
"03/15/2022","17,250.0","17,580.0","17,580.0","17,090.0","22.60K","0.23%"
"03/14/2022","17,210.0","17,360.0","17,360.0","17,150.0","20.10K","-0.86%"
"03/11/2022","17,360.0","17,500.0","17,500.0","17,240.0","20.80K","-1.25%"
"03/10/2022","17,580.0","17,660.0","17,660.0","17,530.0","16.30K","0.29%"
"03/09/2022","17,530.0","17,500.0","17,530.0","17,400.0","17.60K","0.17%"
"03/08/2022","17,500.0","17,600.0","17,600.0","17,480.0","17.60K","-1.13%"
"03/07/2022","17,700.0","17,750.0","17,770.0","17,520.0","437.80K","-1.17%"
"03/04/2022","17,910.0","17,910.0","17,910.0","17,500.0","86.60K","0.00%"
"03/03/2022","17,910.0","17,660.0","17,910.0","17,630.0","18.60K","1.42%"
"03/02/2022","17,660.0","17,800.0","17,800.0","17,600.0","191.70K","-1.12%"
"03/01/2022","17,860.0","17,800.0","17,860.0","17,670.0","8.90K","-0.22%"
"02/28/2022","17,900.0","17,790.0","17,900.0","17,610.0","117.20K","-0.28%"
"02/25/2022","17,950.0","17,870.0","17,960.0","17,800.0","33.10K","0.28%"
"02/24/2022","17,900.0","17,800.0","17,900.0","17,700.0","18.10K","-1.10%"
"02/23/2022","18,100.0","18,000.0","18,100.0","17,850.0","119.70K","0.56%"
"02/22/2022","18,000.0","17,910.0","18,000.0","17,650.0","24.80K","0.00%"
"02/21/2022","18,000.0","18,040.0","18,040.0","17,850.0","7.20K","-0.22%"
"02/18/2022","18,040.0","18,030.0","18,040.0","17,850.0","6.20K","0.06%"
"02/17/2022","18,030.0","17,920.0","18,030.0","17,780.0","94.70K","0.50%"
"02/16/2022","17,940.0","18,010.0","18,010.0","17,790.0","12.00K","-0.39%"
"02/15/2022","18,010.0","17,730.0","18,220.0","17,650.0","135.50K","0.61%"
"02/14/2022","17,900.0","18,220.0","18,220.0","17,780.0","139.60K","-1.81%"
"02/11/2022","18,230.0","18,180.0","18,230.0","18,000.0","84.40K","0.33%"
"02/10/2022","18,170.0","18,320.0","18,320.0","17,940.0","112.20K","-0.82%"
"02/09/2022","18,320.0","18,250.0","18,320.0","18,210.0","142.10K","0.38%"
"02/08/2022","18,250.0","18,170.0","18,250.0","18,000.0","26.00K","0.44%"
"02/07/2022","18,170.0","18,040.0","18,200.0","18,000.0","100.60K","0.72%"
"01/28/2022","18,040.0","17,840.0","18,040.0","17,830.0","140.50K","1.06%"
"01/27/2022","17,850.0","17,900.0","17,900.0","17,550.0","139.70K","-0.56%"
"01/26/2022","17,950.0","17,780.0","17,950.0","17,750.0","112.90K","0.96%"
"01/25/2022","17,780.0","17,380.0","17,780.0","17,160.0","131.50K","2.54%"
"01/24/2022","17,340.0","17,700.0","17,700.0","17,130.0","128.20K","-2.03%"
"01/21/2022","17,700.0","17,430.0","17,700.0","17,130.0","112.90K","0.34%"
"01/20/2022","17,640.0","17,440.0","17,640.0","17,300.0","116.10K","1.15%"
"01/19/2022","17,440.0","17,410.0","17,450.0","17,300.0","68.20K","-0.06%"
"01/18/2022","17,450.0","17,370.0","17,480.0","17,010.0","134.80K","-0.17%"
"01/17/2022","17,480.0","18,190.0","18,600.0","17,250.0","121.10K","-2.35%"
"01/14/2022","17,900.0","17,940.0","17,950.0","17,800.0","111.40K","-1.16%"
"01/13/2022","18,110.0","18,030.0","18,110.0","17,840.0","115.90K","0.67%"
"01/12/2022","17,990.0","17,650.0","17,990.0","17,460.0","132.70K","1.81%"
"01/11/2022","17,670.0","17,840.0","17,840.0","17,590.0","136.00K","-1.23%"
"01/10/2022","17,890.0","18,180.0","18,240.0","17,770.0","122.90K","-1.27%"
"01/07/2022","18,120.0","18,600.0","18,600.0","17,950.0","55.50K","-0.44%"
"01/06/2022","18,200.0","18,000.0","18,200.0","18,000.0","89.60K","1.11%"
"01/05/2022","18,000.0","18,360.0","18,360.0","18,000.0","105.00K","-1.96%"
"01/04/2022","18,360.0","18,100.0","18,360.0","17,850.0","110.30K","1.49%"
"12/31/2021","18,090.0","17,860.0","18,090.0","17,860.0","134.20K","1.12%"
"12/30/2021","17,890.0","18,140.0","18,140.0","17,500.0","101.70K","1.53%"
"12/29/2021","17,620.0","17,750.0","17,880.0","17,620.0","88.40K","-1.51%"
"12/28/2021","17,890.0","17,840.0","17,890.0","17,680.0","112.10K","0.28%"
"12/27/2021","17,840.0","17,710.0","17,840.0","17,280.0","90.10K","0.73%"
"12/24/2021","17,710.0","17,370.0","17,710.0","17,370.0","6.00K","1.96%"
"12/23/2021","17,370.0","17,700.0","17,700.0","17,350.0","66.10K","-1.86%"
"12/22/2021","17,700.0","17,800.0","17,800.0","17,560.0","115.60K","-0.56%"
"12/21/2021","17,800.0","17,830.0","17,830.0","17,650.0","85.10K","-0.11%"
"12/20/2021","17,820.0","17,850.0","17,850.0","17,600.0","91.40K","-0.17%"
"12/17/2021","17,850.0","17,700.0","17,850.0","17,700.0","113.30K","0.51%"
"12/16/2021","17,760.0","18,000.0","18,000.0","17,650.0","10.10K","-0.78%"
"12/15/2021","17,900.0","17,900.0","17,900.0","17,840.0","12.70K","-0.06%"
"12/14/2021","17,910.0","17,900.0","17,950.0","17,800.0","10.60K","0.06%"
"12/13/2021","17,900.0","17,900.0","17,900.0","16,890.0","78.10K","0.06%"
"12/10/2021","17,890.0","18,050.0","18,050.0","17,750.0","65.50K","-0.67%"
"12/09/2021","18,010.0","17,690.0","18,010.0","17,690.0","73.00K","0.90%"
"12/08/2021","17,850.0","17,800.0","17,850.0","17,750.0","65.30K","0.45%"
"12/07/2021","17,770.0","17,500.0","17,770.0","17,500.0","43.70K","2.72%"
"12/06/2021","17,300.0","18,200.0","18,200.0","17,200.0","62.10K","-2.81%"
"12/03/2021","17,800.0","18,190.0","18,190.0","17,800.0","65.00K","-2.14%"
"12/02/2021","18,190.0","18,140.0","18,210.0","18,100.0","82.10K","-0.27%"
"12/01/2021","18,240.0","18,110.0","18,240.0","18,000.0","42.30K","0.72%"
"11/30/2021","18,110.0","18,390.0","18,390.0","18,050.0","23.50K","-0.88%"
"11/29/2021","18,270.0","18,380.0","18,380.0","18,060.0","49.70K","-0.98%"
"11/26/2021","18,450.0","18,300.0","18,490.0","18,300.0","11.10K","-0.05%"
"11/25/2021","18,460.0","17,510.0","18,460.0","17,510.0","119.90K","0.00%"
"11/24/2021","18,460.0","18,040.0","18,460.0","17,900.0","114.60K","2.33%"
"11/23/2021","18,040.0","17,900.0","18,040.0","17,600.0","116.00K","0.89%"
"11/22/2021","17,880.0","17,710.0","17,880.0","17,600.0","135.40K","1.02%"
"11/19/2021","17,700.0","17,740.0","17,800.0","17,400.0","54.30K","-0.23%"
"11/18/2021","17,740.0","17,860.0","17,860.0","17,660.0","74.30K","-1.00%"
"11/17/2021","17,920.0","17,830.0","17,920.0","17,800.0","22.30K","0.50%"
"11/16/2021","17,830.0","18,000.0","18,000.0","17,820.0","22.40K","-0.94%"
"11/15/2021","18,000.0","17,980.0","18,060.0","17,930.0","24.20K","0.11%"
"11/12/2021","17,980.0","17,830.0","17,980.0","17,710.0","32.60K","0.84%"
"11/11/2021","17,830.0","18,200.0","18,200.0","17,710.0","28.50K","-0.78%"
"11/10/2021","17,970.0","17,850.0","17,970.0","17,850.0","35.80K","-0.17%"
"11/09/2021","18,000.0","18,060.0","18,070.0","17,900.0","39.50K","-0.50%"
"11/08/2021","18,090.0","18,080.0","18,090.0","18,000.0","63.70K","0.00%"
"11/05/2021","18,090.0","17,970.0","18,090.0","17,860.0","86.70K","0.67%"
"11/04/2021","17,970.0","17,910.0","18,000.0","17,910.0","21.20K","-0.61%"
