"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2023","7,430.0","7,430.0","7,440.0","7,430.0","4.80K","0.13%"
"05/25/2023","7,420.0","7,450.0","7,450.0","7,400.0","16.10K","-0.40%"
"05/24/2023","7,450.0","7,500.0","7,500.0","7,450.0","11.50K","0.68%"
"05/23/2023","7,400.0","7,420.0","7,500.0","7,400.0","8.40K","-0.27%"
"05/22/2023","7,420.0","7,420.0","7,420.0","7,420.0","4.00K","-0.13%"
"05/18/2023","7,430.0","7,440.0","7,440.0","7,360.0","5.10K","-0.13%"
"05/17/2023","7,440.0","7,400.0","7,480.0","7,400.0","7.40K","-0.40%"
"05/16/2023","7,470.0","7,500.0","7,500.0","7,470.0","7.70K","-0.40%"
"05/15/2023","7,500.0","7,450.0","7,500.0","7,450.0","3.40K","0.94%"
"05/12/2023","7,430.0","7,350.0","7,430.0","7,350.0","40.60K","0.13%"
"05/11/2023","7,420.0","7,410.0","7,430.0","7,410.0","10.00K","0.13%"
"05/10/2023","7,410.0","7,390.0","7,410.0","7,370.0","15.60K","0.54%"
"05/09/2023","7,370.0","7,390.0","7,390.0","7,370.0","10.50K","0.55%"
"05/08/2023","7,330.0","7,290.0","7,350.0","7,290.0","9.00K","0.83%"
"05/05/2023","7,270.0","7,300.0","7,310.0","7,270.0","12.00K","-0.27%"
"05/04/2023","7,290.0","7,330.0","7,360.0","7,270.0","17.10K","-0.82%"
"04/28/2023","7,350.0","7,330.0","7,350.0","7,290.0","20.10K","0.82%"
"04/27/2023","7,290.0","7,350.0","7,360.0","7,230.0","16.60K","-0.27%"
"04/26/2023","7,310.0","7,220.0","7,310.0","7,220.0","14.10K","0.83%"
"04/25/2023","7,250.0","7,410.0","7,410.0","7,250.0","10.40K","-2.03%"
"04/24/2023","7,400.0","7,400.0","7,420.0","7,370.0","12.10K","-0.13%"
"04/21/2023","7,410.0","7,450.0","7,450.0","7,410.0","9.00K","-0.67%"
"04/20/2023","7,460.0","7,470.0","7,470.0","7,440.0","17.50K","-0.53%"
"04/19/2023","7,500.0","7,530.0","7,530.0","7,500.0","5.30K","-0.27%"
"04/18/2023","7,520.0","7,530.0","7,530.0","7,440.0","15.80K","0.00%"
"04/17/2023","7,520.0","7,490.0","7,520.0","7,490.0","11.30K","-0.79%"
"04/14/2023","7,580.0","7,590.0","7,620.0","7,570.0","18.90K","0.00%"
"04/13/2023","7,580.0","7,570.0","7,580.0","7,500.0","8.20K","-0.52%"
"04/12/2023","7,620.0","7,640.0","7,660.0","7,570.0","32.10K","-0.13%"
"04/11/2023","7,630.0","7,600.0","7,630.0","7,540.0","17.80K","0.39%"
"04/10/2023","7,600.0","7,540.0","7,640.0","7,540.0","26.00K","0.53%"
"04/07/2023","7,560.0","7,600.0","7,600.0","7,540.0","25.90K","-0.53%"
"04/06/2023","7,600.0","7,660.0","7,660.0","7,600.0","18.80K","-0.78%"
"04/05/2023","7,660.0","7,650.0","7,690.0","7,580.0","22.80K","1.06%"
"04/04/2023","7,580.0","7,580.0","7,660.0","7,570.0","19.40K","0.00%"
"04/03/2023","7,580.0","7,540.0","7,630.0","7,540.0","20.40K","0.66%"
"03/31/2023","7,530.0","7,470.0","7,540.0","7,430.0","20.30K","1.35%"
"03/30/2023","7,430.0","7,440.0","7,500.0","7,430.0","11.80K","0.81%"
"03/29/2023","7,370.0","7,380.0","7,430.0","7,350.0","11.20K","0.14%"
"03/28/2023","7,360.0","7,380.0","7,410.0","7,360.0","22.40K","-0.27%"
"03/27/2023","7,380.0","7,330.0","7,380.0","7,320.0","17.00K","0.68%"
"03/24/2023","7,330.0","7,340.0","7,390.0","7,320.0","22.30K","0.96%"
"03/23/2023","7,260.0","7,260.0","7,260.0","7,210.0","24.10K","-0.41%"
"03/22/2023","7,290.0","7,170.0","7,290.0","7,170.0","24.00K","1.53%"
"03/21/2023","7,180.0","7,180.0","7,220.0","7,060.0","11.10K","0.00%"
"03/20/2023","7,180.0","7,290.0","7,290.0","7,180.0","10.90K","-2.31%"
"03/17/2023","7,350.0","7,320.0","7,380.0","7,320.0","15.40K","0.68%"
"03/16/2023","7,300.0","7,390.0","7,390.0","7,300.0","23.40K","-1.75%"
"03/15/2023","7,430.0","7,360.0","7,430.0","7,340.0","28.50K","2.48%"
"03/14/2023","7,250.0","7,280.0","7,300.0","7,250.0","11.90K","-0.41%"
"03/13/2023","7,280.0","7,250.0","7,360.0","7,250.0","19.40K","-0.55%"
"03/10/2023","7,320.0","7,310.0","7,340.0","7,300.0","23.40K","-0.27%"
"03/09/2023","7,340.0","7,230.0","7,350.0","7,230.0","24.40K","1.94%"
"03/08/2023","7,200.0","7,170.0","7,200.0","7,100.0","32.10K","-0.28%"
"03/07/2023","7,220.0","7,190.0","7,240.0","7,140.0","22.80K","1.26%"
"03/06/2023","7,130.0","7,180.0","7,230.0","7,130.0","15.50K","0.42%"
"03/03/2023","7,100.0","7,240.0","7,240.0","7,100.0","24.60K","-1.39%"
"03/02/2023","7,200.0","7,160.0","7,250.0","7,130.0","12.60K","0.28%"
"03/01/2023","7,180.0","7,100.0","7,180.0","7,030.0","17.00K","1.27%"
"02/28/2023","7,090.0","7,150.0","7,160.0","7,070.0","31.40K","0.14%"
"02/27/2023","7,080.0","7,140.0","7,150.0","7,040.0","34.10K","-2.21%"
"02/24/2023","7,240.0","7,260.0","7,320.0","7,150.0","58.40K","-0.14%"
"02/23/2023","7,250.0","7,270.0","7,340.0","7,170.0","50.90K","-1.76%"
"02/22/2023","7,380.0","7,610.0","7,610.0","7,370.0","51.30K","-3.02%"
"02/21/2023","7,610.0","7,570.0","7,610.0","7,520.0","40.10K","1.47%"
"02/20/2023","7,500.0","7,410.0","7,500.0","7,410.0","76.50K","1.35%"
"02/17/2023","7,400.0","7,340.0","7,400.0","7,300.0","34.90K","1.09%"
"02/16/2023","7,320.0","7,350.0","7,350.0","7,250.0","28.30K","0.55%"
"02/15/2023","7,280.0","7,160.0","7,350.0","7,160.0","42.30K","0.83%"
